,rt,time_elapsed,trial_type,view_history,worker_id,assignment_id,pid
0,106278,106280,instructions,"[{""page_index"":0,""viewing_time"":41170},{""page_index"":1,""viewing_time"":21119},{""page_index"":0,""viewing_time"":5784},{""page_index"":1,""viewing_time"":8469},{""page_index"":2,""viewing_time"":29736}]",A12O9P1OTMJOPW,3W92K5RLWUHPIQGSB9CSB5O1OFUV5G,0
2,54997,187158,instructions,"[{""page_index"":0,""viewing_time"":24038},{""page_index"":1,""viewing_time"":17467},{""page_index"":2,""viewing_time"":13492}]",A12O9P1OTMJOPW,3W92K5RLWUHPIQGSB9CSB5O1OFUV5G,0
13,82526,82528,instructions,"[{""page_index"":0,""viewing_time"":36221},{""page_index"":1,""viewing_time"":29733},{""page_index"":2,""viewing_time"":16572}]",A1F7TXGSWETWX0,3GS6S824SQX6N4M35JDARO71M9WWNH,1
24,65002,65002,instructions,"[{""page_index"":0,""viewing_time"":20556},{""page_index"":1,""viewing_time"":16524},{""page_index"":2,""viewing_time"":16500},{""page_index"":3,""viewing_time"":11421}]",A1G94QON7A9K0N,3A0EX8ZRN8O8B0S6HUQPLQSNGSKYBV,2
26,49893,150235,instructions,"[{""page_index"":0,""viewing_time"":17328},{""page_index"":1,""viewing_time"":9703},{""page_index"":2,""viewing_time"":12977},{""page_index"":3,""viewing_time"":9884}]",A1G94QON7A9K0N,3A0EX8ZRN8O8B0S6HUQPLQSNGSKYBV,2
28,13209,210578,instructions,"[{""page_index"":0,""viewing_time"":8507},{""page_index"":1,""viewing_time"":1212},{""page_index"":2,""viewing_time"":2413},{""page_index"":3,""viewing_time"":1076}]",A1G94QON7A9K0N,3A0EX8ZRN8O8B0S6HUQPLQSNGSKYBV,2
39,159702,159703,instructions,"[{""page_index"":0,""viewing_time"":67578},{""page_index"":1,""viewing_time"":72040},{""page_index"":2,""viewing_time"":20082}]",A1GVMH6U54ZT8V,30OG32W0SUBC640CKJJ45I01F5RNES,3
41,259799,479838,instructions,"[{""page_index"":0,""viewing_time"":29775},{""page_index"":1,""viewing_time"":96905},{""page_index"":2,""viewing_time"":28438},{""page_index"":1,""viewing_time"":2605},{""page_index"":0,""viewing_time"":59026},{""page_index"":1,""viewing_time"":15651},{""page_index"":2,""viewing_time"":1354},{""page_index"":1,""viewing_time"":6343},{""page_index"":2,""viewing_time"":19701}]",A1GVMH6U54ZT8V,30OG32W0SUBC640CKJJ45I01F5RNES,3
43,35913,542840,instructions,"[{""page_index"":0,""viewing_time"":30130},{""page_index"":1,""viewing_time"":1600},{""page_index"":2,""viewing_time"":4182}]",A1GVMH6U54ZT8V,30OG32W0SUBC640CKJJ45I01F5RNES,3
54,89482,89484,instructions,"[{""page_index"":0,""viewing_time"":40817},{""page_index"":1,""viewing_time"":32100},{""page_index"":2,""viewing_time"":16563}]",A1MV2B8I02QVOE,3LPW2N6LKT2P5BRS6J2NFJMIA7KU5N,4
65,320374,320377,instructions,"[{""page_index"":0,""viewing_time"":21113},{""page_index"":1,""viewing_time"":1893},{""page_index"":2,""viewing_time"":296602},{""page_index"":3,""viewing_time"":765}]",A1R3W25JDAUQ09,392CY0QWG1R201SSYXUZROSTGH34IN,5
67,26540,358944,instructions,"[{""page_index"":0,""viewing_time"":8483},{""page_index"":1,""viewing_time"":5184},{""page_index"":2,""viewing_time"":8200},{""page_index"":3,""viewing_time"":4673}]",A1R3W25JDAUQ09,392CY0QWG1R201SSYXUZROSTGH34IN,5
69,117956,499711,instructions,"[{""page_index"":0,""viewing_time"":84133},{""page_index"":1,""viewing_time"":15590},{""page_index"":2,""viewing_time"":11824},{""page_index"":3,""viewing_time"":6409}]",A1R3W25JDAUQ09,392CY0QWG1R201SSYXUZROSTGH34IN,5
80,117115,117115,instructions,"[{""page_index"":0,""viewing_time"":38626},{""page_index"":1,""viewing_time"":26787},{""page_index"":2,""viewing_time"":34326},{""page_index"":3,""viewing_time"":17375}]",A1RG8PCK9V4QP,3QAVNHZ3EM4JSRGFS113W76LPVUALJ,6
82,57636,230305,instructions,"[{""page_index"":0,""viewing_time"":43910},{""page_index"":1,""viewing_time"":4437},{""page_index"":2,""viewing_time"":7788},{""page_index"":3,""viewing_time"":1500}]",A1RG8PCK9V4QP,3QAVNHZ3EM4JSRGFS113W76LPVUALJ,6
84,5749,265279,instructions,"[{""page_index"":0,""viewing_time"":1461},{""page_index"":1,""viewing_time"":1662},{""page_index"":2,""viewing_time"":1588},{""page_index"":3,""viewing_time"":1038}]",A1RG8PCK9V4QP,3QAVNHZ3EM4JSRGFS113W76LPVUALJ,6
86,89037,381530,instructions,"[{""page_index"":0,""viewing_time"":29874},{""page_index"":1,""viewing_time"":22575},{""page_index"":2,""viewing_time"":33388},{""page_index"":3,""viewing_time"":3200}]",A1RG8PCK9V4QP,3QAVNHZ3EM4JSRGFS113W76LPVUALJ,6
97,69851,69853,instructions,"[{""page_index"":0,""viewing_time"":31057},{""page_index"":1,""viewing_time"":24034},{""page_index"":2,""viewing_time"":14759}]",A1RPQXFV02P72A,3UXUOQ9OKEXKD6RDO70TD2OKUBPA7A,7
99,35082,133010,instructions,"[{""page_index"":0,""viewing_time"":21866},{""page_index"":1,""viewing_time"":9275},{""page_index"":2,""viewing_time"":3940}]",A1RPQXFV02P72A,3UXUOQ9OKEXKD6RDO70TD2OKUBPA7A,7
101,24372,180685,instructions,"[{""page_index"":0,""viewing_time"":13167},{""page_index"":1,""viewing_time"":8538},{""page_index"":2,""viewing_time"":2667}]",A1RPQXFV02P72A,3UXUOQ9OKEXKD6RDO70TD2OKUBPA7A,7
