,actionTimes,actions,clickTimes,clicks,condition,delays,infoCost,minTime,path,rt,score,time_elapsed,trialID,trialIndex,trial_type,worker_id,assignment_id,pid,feedback
8,"[20234, 26526, 30484]","[u'left', u'left', u'down']","[6306, 19273]","[u'2', u'4']",8.0,"[-22, -1, -1]",2.8,45.0,"[1, 4, 8, 15]","[20232, 8, 5]",8.4,631587,1.0,1.0,graph,A105Q9KX0PVR4N,3KGTPGBS6XLX6E85O00PHCJ6QX42U5,0,True
9,"[12500, 47113, 51061]","[u'down', u'down', u'left']","[9394, 11456]","[u'3', u'5']",8.0,"[26, -1, -1]",2.8,45.0,"[1, 5, 9, 16]","[12498, 2433, 7]",-3.6,724795,6.0,2.0,graph,A105Q9KX0PVR4N,3KGTPGBS6XLX6E85O00PHCJ6QX42U5,0,True
10,"[5270, 26731, 30809]","[u'up', u'up', u'left']","[2169, 3808, 49276]","[u'5', u'3', u'7']",8.0,"[12, -1, -1]",2.8,45.0,"[1, 3, 7, 12]","[5270, 3364, 5]",-5.4,809797,7.0,3.0,graph,A105Q9KX0PVR4N,3KGTPGBS6XLX6E85O00PHCJ6QX42U5,0,True
11,"[9937, 45373, 49538]","[u'right', u'right', u'up']","[1289, 2751, 5389]","[u'2', u'10', u'6']",8.0,"[27, -3, -25]",2.8,45.0,"[1, 2, 6, 10]","[9937, 1839, 5]",13.6,899764,4.0,4.0,graph,A105Q9KX0PVR4N,3KGTPGBS6XLX6E85O00PHCJ6QX42U5,0,True
12,"[24537, 58632, 62969]","[u'right', u'right', u'up']","[2273, 4501, 7708, 10888, 19991]","[u'4', u'15', u'14', u'10', u'2']",8.0,"[25, -1, -29]",2.8,45.0,"[1, 2, 6, 10]","[24536, 1859, 4]",20.0,988641,2.0,5.0,graph,A105Q9KX0PVR4N,3KGTPGBS6XLX6E85O00PHCJ6QX42U5,0,True
13,"[11467, 24501, 30777]","[u'up', u'up', u'right']","[1983, 4310, 5474]","[u'3', u'12', u'13']",8.0,"[7, -1, -1]",2.8,45.0,"[1, 3, 7, 13]","[11466, 429, 2571]",-3.4,1054972,3.0,6.0,graph,A105Q9KX0PVR4N,3KGTPGBS6XLX6E85O00PHCJ6QX42U5,0,True
14,"[7867, 14948, 19073]","[u'left', u'left', u'up']","[2272, 6638]","[u'4', u'14']",8.0,"[-7, -1, -27]",2.8,45.0,"[1, 4, 8, 14]","[7866, 9, 4]",28.4,1119834,5.0,7.0,graph,A105Q9KX0PVR4N,3KGTPGBS6XLX6E85O00PHCJ6QX42U5,0,True
15,"[13521, 18969, 23943]","[u'up', u'up', u'right']","[2389, 4142, 5955, 7097, 9079]","[u'2', u'3', u'12', u'13', u'7']",8.0,"[-9, -1, 0]",2.8,45.0,"[1, 3, 7, 13]","[13520, 23, 418]",1.0,1180971,0.0,8.0,graph,A105Q9KX0PVR4N,3KGTPGBS6XLX6E85O00PHCJ6QX42U5,0,True
33,"[19129, 20272, 21362]","[u'left', u'left', u'down']",[],[],4.0,"[-7, -4, 6]",1.6,45.0,"[1, 4, 8, 15]","[19128, 68, 4]",40.0,542617,0.0,1.0,graph,A10XW6SNPNQX16,3TYCR1GOTCJKTZON4TH2D0XUYF8ZLE,1,True
34,"[15998, 17012, 18030]","[u'down', u'down', u'right']","[3451, 6222, 7825, 9057, 10014, 10889, 12378, 13417]","[u'12', u'13', u'10', u'11', u'17', u'16', u'15', u'14']",4.0,"[-3, 0, 0]",1.6,45.0,"[1, 5, 9, 17]","[15998, 4, 4]",29.2,590961,4.0,2.0,graph,A10XW6SNPNQX16,3TYCR1GOTCJKTZON4TH2D0XUYF8ZLE,1,True
