,actionTimes,actions,clickTimes,clicks,condition,delays,infoCost,minTime,path,rt,score,time_elapsed,trialID,trialIndex,trial_type,worker_id,assignment_id,pid,feedback
14,"[8563, 18146, 37017]","[u'right', u'right', u'down']",[],[],7.0,"[-42, -6, 1]",2.8,45.0,"[1, 2, 6, 11]","[8562, 8494, 17769]",2.0,660429,1.0,1.0,graph,A1ISXRQO8ZQKPE,369J354OFDA2JXQBRXNB3AZRXUOG6X,0,True
15,"[6065, 11785, 14136]","[u'up', u'up', u'right']",[],[],7.0,"[-42, -6, 1]",2.8,45.0,"[1, 3, 7, 13]","[6064, 4627, 1042]",31.0,711948,6.0,2.0,graph,A1ISXRQO8ZQKPE,369J354OFDA2JXQBRXNB3AZRXUOG6X,0,True
16,"[10348, 13517, 23812]","[u'down', u'down', u'left']","[1402, 3960, 5160, 6199, 16847, 17991]","[u'4', u'3', u'2', u'5', u'17', u'16']",7.0,"[-40, -6, 6]",2.8,45.0,"[1, 5, 9, 16]","[10348, 1922, 9192]",-10.8,768948,3.0,3.0,graph,A1ISXRQO8ZQKPE,369J354OFDA2JXQBRXNB3AZRXUOG6X,0,True
17,"[20698, 22111, 26119]","[u'right', u'right', u'up']","[2611, 5843, 8603, 13234, 14082, 15003, 16666, 18218]","[u'15', u'14', u'12', u'13', u'10', u'11', u'17', u'16']",7.0,"[-25, -6, 0]",2.8,45.0,"[1, 2, 6, 10]","[20697, 309, 2830]",11.6,818568,2.0,4.0,graph,A1ISXRQO8ZQKPE,369J354OFDA2JXQBRXNB3AZRXUOG6X,0,True
18,"[19926, 21454, 23366]","[u'left', u'left', u'up']","[1960, 5473, 8801, 10185, 11464, 12448, 13368, 16040]","[u'16', u'14', u'13', u'12', u'10', u'11', u'17', u'15']",7.0,"[-28, -6, 0]",2.8,45.0,"[1, 4, 8, 14]","[19926, 416, 678]",11.6,867926,5.0,5.0,graph,A1ISXRQO8ZQKPE,369J354OFDA2JXQBRXNB3AZRXUOG6X,0,True
19,"[7860, 9917, 12100]","[u'down', u'down', u'right']","[1456, 3159]","[u'14', u'17']",7.0,"[-58, -6, 1]",2.8,45.0,"[1, 5, 9, 17]","[7859, 553, 1044]",36.4,935627,4.0,6.0,graph,A1ISXRQO8ZQKPE,369J354OFDA2JXQBRXNB3AZRXUOG6X,0,True
20,"[15356, 17010, 18555]","[u'left', u'left', u'up']","[4879, 6423, 7639, 12014, 13614]","[u'10', u'16', u'14', u'12', u'4']",7.0,"[-41, -6, -5]",2.8,45.0,"[1, 4, 8, 14]","[15356, 2, 343]",26.0,986641,0.0,7.0,graph,A1ISXRQO8ZQKPE,369J354OFDA2JXQBRXNB3AZRXUOG6X,0,True
21,"[12393, 13958, 15384]","[u'left', u'left', u'up']","[1876, 3292, 5004, 6595]","[u'16', u'12', u'10', u'14']",7.0,"[-38, -6, -5]",2.8,45.0,"[1, 4, 8, 14]","[12393, 2, 295]",6.8,1038465,7.0,8.0,graph,A1ISXRQO8ZQKPE,369J354OFDA2JXQBRXNB3AZRXUOG6X,0,True
27,"[5526, 20912, 27032]","[u'right', u'right', u'up']",[],[],3.0,"[8, 0, 1]",1.6,45.0,"[1, 2, 6, 10]","[5526, 6438, 5152]",34.0,193518,2.0,1.0,graph,A1OBB3PWYWK9KK,3KRVW3HTZNL7Y5KU9DO9HKFGB5YMSY,1,True
28,"[22254, 33623, 38395]","[u'up', u'up', u'left']","[6723, 9352, 15249]","[u'3', u'4', u'17']",3.0,"[8, 0, 1]",1.6,45.0,"[1, 3, 7, 12]","[22253, 1241, 3085]",-7.8,253853,0.0,2.0,graph,A1OBB3PWYWK9KK,3KRVW3HTZNL7Y5KU9DO9HKFGB5YMSY,1,True
