A18TCR555RWUZV:3TXD01ZLD4H79SNSSEJDARG374V4UF,initialized,0,,1487290590317
A18TCR555RWUZV:3TXD01ZLD4H79SNSSEJDARG374V4UF,window_resize,0,"[1024, 768]",1487290590317
A18TCR555RWUZV:3TXD01ZLD4H79SNSSEJDARG374V4UF,focus,72643,off,1487290662960
A18TCR555RWUZV:3TXD01ZLD4H79SNSSEJDARG374V4UF,focus,1,on,1487290662961
A18TCR555RWUZV:3TXD01ZLD4H79SNSSEJDARG374V4UF,focus,139311,off,1487290802272
A18TCR555RWUZV:3TXD01ZLD4H79SNSSEJDARG374V4UF,focus,1,on,1487290802273
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,initialized,0,,1487370610307
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,window_resize,0,"[1022, 767]",1487370610307
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,360,on,1487370610667
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,window_resize,2917,"[1440, 875]",1487370613584
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,6480,off,1487370620064
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,7249,on,1487370627313
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,31385,off,1487370658698
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,3054,on,1487370661752
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,63386,off,1487370725138
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,3605,on,1487370728743
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,15407,off,1487370744150
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,36465,on,1487370780615
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,37012,off,1487370817627
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,9487,on,1487370827114
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,4958,off,1487370832072
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,7227,on,1487370839299
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,35247,off,1487370874546
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,2853,on,1487370877399
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,278506,off,1487371155905
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,61964,on,1487371217869
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,15621,off,1487371233490
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,50635,on,1487371284125
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,113639,off,1487371397764
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,33427,on,1487371431191
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,23340,off,1487371454531
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,40141,on,1487371494672
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,104918,off,1487371599590
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,2067,on,1487371601657
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,568,off,1487371602225
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,10858,on,1487371613083
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,164337,off,1487371777420
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,34157,on,1487371811577
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,207111,off,1487372018688
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,10706,on,1487372029394
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,157703,off,1487372187097
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,2729,on,1487372189826
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,124420,off,1487372314246
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,71629,on,1487372385875
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,16638,off,1487372402513
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,focus,21364,on,1487372423877
