,key_press,rt,time_elapsed,trial_type,worker_id,assignment_id,pid
0,32.0,46254,46258,text,A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
13,32.0,3016,1057074,text,A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
14,32.0,19510,1077585,text,A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
20,32.0,10618,10620,text,A3PRZRK9IC5CBI,3U088ZLJVKT328UW4DBCGCBOEY7W0S,1
33,32.0,4623,680323,text,A3PRZRK9IC5CBI,3U088ZLJVKT328UW4DBCGCBOEY7W0S,1
