,creationDate,worker_id,assignment_id,pid
48,Wed Apr  5 18:48:11 2017,A3RUUTINBKU8YE,3J2UYBXQQLC58TFQDVY8IICBP9N06T,48
49,Wed Apr  5 18:48:11 2017,A3SDFAOJW87FGP,38F5OAUN5NCZNTZRUDALUOBO6197H1,49
50,Wed Apr  5 18:48:11 2017,A3U5CRG5S8I800,3VZLGYJEYLAFTT5CICKQOUSH4K4ZXD,50
51,Wed Apr  5 18:48:11 2017,A4IEHQI7RBRDX,3XIQGXAUMC8W9JZ6ZHS7XAZIURS7XU,51
52,Wed Apr  5 18:48:11 2017,A6JOC24PSUEEC,3HWRJOOET529MHSHSF0Q4CA71ZTSES,52
53,Wed Apr  5 18:48:11 2017,A9BRH899F1PW7,3DY46V3X3PI8KW1D5IUF77U2AMN553,53
54,Wed Apr  5 18:48:11 2017,AEF74ZYJTTEIA,3X73LLYYQ1EOQEREAKRAQLXE6GEHNM,54
55,Wed Apr  5 18:48:11 2017,ALDQRWYZ8KQ9A,3QL2OFSM96IX96GYOSD9FU0YTO9CN8,55
56,Wed Apr  5 18:48:11 2017,AP6MF3NZVUW5C,3VHHR074H3H19PIHLYPJMG4VNII7L8,56
57,Wed Apr  5 18:48:11 2017,AQC0SZA1E9QO7,3CCZ6YKWR7JRLJ3P887WJNZ4WI659U,57
58,Wed Apr  5 18:48:11 2017,AS5P5QIEGUD5X,3IFS6Q0HJIJL2MU3OYQHPR8ZTS0SI1,58
59,Wed Apr  5 18:48:11 2017,ASV53ZC7ILJ7B,33SA9F9TRXU2TY9QCKAR11DS7CQEWU,59
60,Wed Apr  5 18:48:11 2017,AVC62JNYAXA45,382M9COHEHFP1UKLHKVQJDSVMWFEUV,60
