,1,2,code_version,worker_id,assignment_id,pid
0,,,,A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
1,,,,A3PRZRK9IC5CBI,3U088ZLJVKT328UW4DBCGCBOEY7W0S,1
