,rt,time_elapsed,trial_type,view_history,worker_id,assignment_id,pid
1,270160,317422,instructions,"[{""page_index"":0,""viewing_time"":66987},{""page_index"":1,""viewing_time"":70837},{""page_index"":2,""viewing_time"":101517},{""page_index"":3,""viewing_time"":30818}]",A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
3,181182,577935,instructions,"[{""page_index"":0,""viewing_time"":79065},{""page_index"":1,""viewing_time"":43816},{""page_index"":2,""viewing_time"":40792},{""page_index"":3,""viewing_time"":17508}]",A3A58JLUEA04PK,3GM6G9ZBKNX8D5X9YDTZRPB2D7QTMA,0
21,35979,47603,instructions,"[{""page_index"":0,""viewing_time"":14227},{""page_index"":1,""viewing_time"":15896},{""page_index"":2,""viewing_time"":5856}]",A3PRZRK9IC5CBI,3U088ZLJVKT328UW4DBCGCBOEY7W0S,1
23,100469,219370,instructions,"[{""page_index"":0,""viewing_time"":16294},{""page_index"":1,""viewing_time"":19391},{""page_index"":0,""viewing_time"":5778},{""page_index"":1,""viewing_time"":3135},{""page_index"":2,""viewing_time"":15631},{""page_index"":1,""viewing_time"":16545},{""page_index"":0,""viewing_time"":19319},{""page_index"":1,""viewing_time"":2889},{""page_index"":2,""viewing_time"":1487}]",A3PRZRK9IC5CBI,3U088ZLJVKT328UW4DBCGCBOEY7W0S,1
